dataset,map4,morgan,ap
COX-2,0.49634351404617083,0.5620415776083683,0.5491507628895709
COX-2,0.44564365656288696,0.4901081849043126,0.49395668345743426
COX-2,0.49534383684746053,0.5349348392350755,0.5620337124306997
COX-2,0.5163912796170567,0.5771238256928213,0.5851055557251847
COX-2,0.4777927661963136,0.5513153294952116,0.5494223867633866
Glucocorticoid,0.5519941637056826,0.6504310518613248,0.6571402813946721
Glucocorticoid,0.5491842417735479,0.6367847721836506,0.6513083576842816
Glucocorticoid,0.5629766358290047,0.6485867408956236,0.6707451198621351
Glucocorticoid,0.5862337035861711,0.6340894478451402,0.6920252985618571
Glucocorticoid,0.5676422770769971,0.6669202268053969,0.6833629131935414
opioid,0.6558812265279366,0.740366079106349,0.7373701700393702
opioid,0.5406704268563389,0.5810726743371881,0.6032457687907672
opioid,0.6737137794923189,0.7105234585970975,0.7006660796406342
opioid,0.6258174345861667,0.6856607791566799,0.6891848050611946
opioid,0.5631687337230331,0.5392359924255852,0.5324525117832066
COX-1,0.34756900995438034,0.41273518068239323,0.41307011457454057
COX-1,0.3028217503606564,0.3931208091880706,0.4061710125741388
COX-1,0.30990761380394116,0.40858060294704346,0.40652845888453615
COX-1,0.3388597531283557,0.4527431368038709,0.4446168964150097
COX-1,0.28744594016945524,0.38462721785964227,0.3647942657501031
Carbonic,0.7164598610469787,0.7732851417464159,0.770610070218464
Carbonic,0.6929679168216817,0.7527377638407335,0.7582474743006262
Carbonic,0.752263667770203,0.8105606227303844,0.8099020168225426
Carbonic,0.7478285021429218,0.8196339245866294,0.803899182101253
Carbonic,0.6938596072437041,0.7536818283137625,0.7457470523357406
Vanilloid,0.4191903012039274,0.4761308196352151,0.5005098838664203
Vanilloid,0.4069578238049997,0.45688032852334404,0.5015469830973074
Vanilloid,0.4025514124234938,0.4726953826251966,0.48161569487836364
Vanilloid,0.42652081828697663,0.49421023521414875,0.5016775440083073
Vanilloid,0.4783109018670525,0.5363309663870053,0.548171198432283
JAK2,0.5549849013171793,0.692173674800417,0.6586381737070268
JAK2,0.5593784443736968,0.6667292566028566,0.6586594240684466
JAK2,0.5658870147637601,0.6702866926706306,0.6576032134792761
JAK2,0.5823396622140826,0.7010028146326592,0.6956977348015273
JAK2,0.6003601259088398,0.6993121232417805,0.6975474906640817
Acetylcholinesterase,0.5858349065908377,0.6885324503041551,0.7198493583943192
Acetylcholinesterase,0.5717529674094437,0.6630399436308132,0.6806167500296376
Acetylcholinesterase,0.5958347552206664,0.694415864798382,0.7088059480172366
Acetylcholinesterase,0.5944352876363315,0.7165853480030755,0.7276350531772658
Acetylcholinesterase,0.615843690579698,0.7200456389435248,0.7257532059490261
Coagulation,0.4975589364845915,0.5474724522113821,0.5729887611446504
Coagulation,0.43898471192288546,0.5308427128956468,0.5440682346005143
Coagulation,0.5317012755137018,0.6383236071579348,0.6197768951661893
Coagulation,0.5075036090532999,0.6145323515266475,0.5993135714513411
Coagulation,0.4789517237390475,0.5531039673229841,0.5401193384897998
Glycogen,0.522919465401366,0.6277661314028594,0.6324781868559453
Glycogen,0.47307943678613606,0.5717040116257421,0.5700683799376377
Glycogen,0.4729234746058205,0.5665685998705671,0.570078435835657
Glycogen,0.5335683223070317,0.6175431236098367,0.6101811990581699
Glycogen,0.5010866527033274,0.5777229459303608,0.6033943597671645
erbB1,0.6541613912884792,0.725745662274053,0.7193935042558213
erbB1,0.6617974511179191,0.7270933788950091,0.7238786928661257
erbB1,0.6490220161635438,0.7207140242091958,0.7231519008375095
erbB1,0.6618106241886055,0.733401121200314,0.7292741911791981
erbB1,0.6667098925180579,0.7248894524964993,0.7249145497995024
Ephrin,0.45234300684419115,0.5592189359244824,0.5542018286790517
Ephrin,0.4682621065806959,0.5599249804558208,0.5833342714625755
Ephrin,0.5071367288006926,0.6142916106240107,0.6308725012717582
Ephrin,0.48872219220887536,0.5956200817864312,0.5858585905107825
Ephrin,0.514479273512424,0.6173608059755721,0.625868055805995
ABL1,0.5403607374188351,0.6102896874398882,0.6132308220337406
ABL1,0.5776193233508757,0.6742018545104798,0.6659498642201374
ABL1,0.5534689062880718,0.6539297026383636,0.6657462351165313
ABL1,0.5335125527085771,0.5966169014431244,0.6272793117811853
ABL1,0.5351264282403396,0.6504515243744753,0.6489546420901975
Monoamine,0.48801760105272274,0.5946451764264319,0.6015036653034218
Monoamine,0.4595575839611321,0.5633315460317874,0.5860410200201749
Monoamine,0.4569869015034188,0.5612137791104965,0.5701612324247725
